Model_name;Category;Subcategory;Description;Notes;Model_page;Download_zip;Preview_image
M000005;Angle brackets;Base bracket;Base angle bracket 20x20x20;Angle bracket from the base bracket family.;modelli/M000005.html;downloads/M000005.zip;previews/M000005.png
M000004;Angle brackets;Base bracket;Base angle bracket 30x30x21;Angle bracket from the base bracket family.;modelli/M000004.html;downloads/M000004.zip;previews/M000004.png
M000006;Angle brackets;Base bracket;Base angle bracket 30x30x30;Angle bracket from the base bracket family.;modelli/M000006.html;downloads/M000006.zip;previews/M000006.png
M000007;Angle brackets;Base bracket;Base angle bracket 40x40x40;Angle bracket from the base bracket family.;modelli/M000007.html;downloads/M000007.zip;previews/M000007.png
M000001;Angle brackets;Double slot;Double-slot angle bracket 59x59x27;Angle bracket with two slots.;modelli/M000001.html;downloads/M000001.zip;previews/M000001.png
M000002;Angle brackets;Double slot;Double-slot angle bracket 59x59x59;Angle bracket with two slots.;modelli/M000002.html;downloads/M000002.zip;previews/M000002.png
M000003;Angle brackets;Double slot;Double-slot angle bracket 78x78x35;Angle bracket with two slots.;modelli/M000003.html;downloads/M000003.zip;previews/M000003.png
M000013;Angle brackets;Perforated bracket;Perforated angle bracket 22x22x13;Angle bracket with drilled hole.;modelli/M000013.html;downloads/M000013.zip;previews/M000013.png
M000011;Angle brackets;Slotted bracket;Slotted angle bracket 29x29x29;Angle bracket with slotted hole.;modelli/M000011.html;downloads/M000011.zip;previews/M000011.png
M000012;Angle brackets;Slotted bracket;Slotted angle bracket 38x38x38;Angle bracket with slotted hole.;modelli/M000012.html;downloads/M000012.zip;previews/M000012.png
M000008;Angle brackets;Slotted bracket;Slotted angle bracket 40x40x18;Angle bracket with slotted hole.;modelli/M000008.html;downloads/M000008.zip;previews/M000008.png
M000009;Angle brackets;Slotted bracket;Slotted angle bracket 40x40x25;Angle bracket with slotted hole.;modelli/M000009.html;downloads/M000009.zip;previews/M000009.png
M000010;Angle brackets;Slotted bracket;Slotted angle bracket 43x43x43;Angle bracket with slotted hole.;modelli/M000010.html;downloads/M000010.zip;previews/M000010.png
M000131;Balls;General;Ball Ø10;Spherical element.;modelli/M000131.html;downloads/M000131.zip;previews/M000131.png
M000132;Balls;General;Ball Ø12;Spherical element.;modelli/M000132.html;downloads/M000132.zip;previews/M000132.png
M000133;Balls;General;Ball Ø16;Spherical element.;modelli/M000133.html;downloads/M000133.zip;previews/M000133.png
M000134;Balls;General;Ball Ø3;Spherical element.;modelli/M000134.html;downloads/M000134.zip;previews/M000134.png
M000135;Balls;General;Ball Ø4;Spherical element.;modelli/M000135.html;downloads/M000135.zip;previews/M000135.png
M000136;Balls;General;Ball Ø5;Spherical element.;modelli/M000136.html;downloads/M000136.zip;previews/M000136.png
M000137;Balls;General;Ball Ø6;Spherical element.;modelli/M000137.html;downloads/M000137.zip;previews/M000137.png
M000138;Balls;General;Ball Ø7;Spherical element.;modelli/M000138.html;downloads/M000138.zip;previews/M000138.png
M000139;Balls;General;Ball Ø8;Spherical element.;modelli/M000139.html;downloads/M000139.zip;previews/M000139.png
M000158;Bolts;ISO 7045;Pan head cross recess screw ISO 7045 M10x50;Pan head screw with cross recess.;modelli/M000158.html;downloads/M000158.zip;previews/M000158.png
M000159;Bolts;ISO 7045;Pan head cross recess screw ISO 7045 M3x16;Pan head screw with cross recess.;modelli/M000159.html;downloads/M000159.zip;previews/M000159.png
M000160;Bolts;ISO 7045;Pan head cross recess screw ISO 7045 M4x20;Pan head screw with cross recess.;modelli/M000160.html;downloads/M000160.zip;previews/M000160.png
M000161;Bolts;ISO 7045;Pan head cross recess screw ISO 7045 M5x25;Pan head screw with cross recess.;modelli/M000161.html;downloads/M000161.zip;previews/M000161.png
M000162;Bolts;ISO 7045;Pan head cross recess screw ISO 7045 M6x30;Pan head screw with cross recess.;modelli/M000162.html;downloads/M000162.zip;previews/M000162.png
M000163;Bolts;ISO 7045;Pan head cross recess screw ISO 7045 M8x40;Pan head screw with cross recess.;modelli/M000163.html;downloads/M000163.zip;previews/M000163.png
M000164;Bolts;ISO 7046;Countersunk flat head cross recess screw ISO 7046 M10x50;Countersunk flat head screw with cross recess.;modelli/M000164.html;downloads/M000164.zip;previews/M000164.png
M000165;Bolts;ISO 7046;Countersunk flat head cross recess screw ISO 7046 M3x16;Countersunk flat head screw with cross recess.;modelli/M000165.html;downloads/M000165.zip;previews/M000165.png
M000166;Bolts;ISO 7046;Countersunk flat head cross recess screw ISO 7046 M4x20;Countersunk flat head screw with cross recess.;modelli/M000166.html;downloads/M000166.zip;previews/M000166.png
M000167;Bolts;ISO 7046;Countersunk flat head cross recess screw ISO 7046 M5x25;Countersunk flat head screw with cross recess.;modelli/M000167.html;downloads/M000167.zip;previews/M000167.png
M000168;Bolts;ISO 7046;Countersunk flat head cross recess screw ISO 7046 M6x30;Countersunk flat head screw with cross recess.;modelli/M000168.html;downloads/M000168.zip;previews/M000168.png
M000169;Bolts;ISO 7046;Countersunk flat head cross recess screw ISO 7046 M8x40;Countersunk flat head screw with cross recess.;modelli/M000169.html;downloads/M000169.zip;previews/M000169.png
M000207;Bolts;UNI 2947 ISO;Lifting eye bolt UNI 2947 M10 ISO;Screw according to UNI 2947.;modelli/M000207.html;downloads/M000207.zip;previews/M000207.png
M000208;Bolts;UNI 2947 ISO;Lifting eye bolt UNI 2947 M12 ISO;Screw according to UNI 2947.;modelli/M000208.html;downloads/M000208.zip;previews/M000208.png
M000170;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M10x50;Cylindrical head screw with hexagon socket.;modelli/M000170.html;downloads/M000170.zip;previews/M000170.png
M000171;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M12x60;Cylindrical head screw with hexagon socket.;modelli/M000171.html;downloads/M000171.zip;previews/M000171.png
M000172;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M14x75;Cylindrical head screw with hexagon socket.;modelli/M000172.html;downloads/M000172.zip;previews/M000172.png
M000173;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M16x80;Cylindrical head screw with hexagon socket.;modelli/M000173.html;downloads/M000173.zip;previews/M000173.png
M000174;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M18x90;Cylindrical head screw with hexagon socket.;modelli/M000174.html;downloads/M000174.zip;previews/M000174.png
M000175;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M20x100;Cylindrical head screw with hexagon socket.;modelli/M000175.html;downloads/M000175.zip;previews/M000175.png
M000176;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M3x14;Cylindrical head screw with hexagon socket.;modelli/M000176.html;downloads/M000176.zip;previews/M000176.png
M000177;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M4x20;Cylindrical head screw with hexagon socket.;modelli/M000177.html;downloads/M000177.zip;previews/M000177.png
M000178;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M5x25;Cylindrical head screw with hexagon socket.;modelli/M000178.html;downloads/M000178.zip;previews/M000178.png
M000179;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M6x30;Cylindrical head screw with hexagon socket.;modelli/M000179.html;downloads/M000179.zip;previews/M000179.png
M000180;Bolts;UNI 5931;Hex socket head cap screw UNI 5931 M8x40;Cylindrical head screw with hexagon socket.;modelli/M000180.html;downloads/M000180.zip;previews/M000180.png
M000181;Bolts;UNI 5933;Hex socket countersunk head screw UNI 5933 M10x60;Countersunk head screw with hexagon socket.;modelli/M000181.html;downloads/M000181.zip;previews/M000181.png
M000182;Bolts;UNI 5933;Hex socket countersunk head screw UNI 5933 M12x50;Countersunk head screw with hexagon socket.;modelli/M000182.html;downloads/M000182.zip;previews/M000182.png
M000183;Bolts;UNI 5933;Hex socket countersunk head screw UNI 5933 M16x50;Countersunk head screw with hexagon socket.;modelli/M000183.html;downloads/M000183.zip;previews/M000183.png
M000184;Bolts;UNI 5933;Hex socket countersunk head screw UNI 5933 M20x60;Countersunk head screw with hexagon socket.;modelli/M000184.html;downloads/M000184.zip;previews/M000184.png
M000185;Bolts;UNI 5933;Hex socket countersunk head screw UNI 5933 M4x20;Countersunk head screw with hexagon socket.;modelli/M000185.html;downloads/M000185.zip;previews/M000185.png
M000186;Bolts;UNI 5933;Hex socket countersunk head screw UNI 5933 M5x30;Countersunk head screw with hexagon socket.;modelli/M000186.html;downloads/M000186.zip;previews/M000186.png
M000187;Bolts;UNI 5933;Hex socket countersunk head screw UNI 5933 M6x40;Countersunk head screw with hexagon socket.;modelli/M000187.html;downloads/M000187.zip;previews/M000187.png
M000188;Bolts;UNI 5933;Hex socket countersunk head screw UNI 5933 M8x50;Countersunk head screw with hexagon socket.;modelli/M000188.html;downloads/M000188.zip;previews/M000188.png
M000190;Bolts;UNI EN 24017;Hex head screw UNI EN 24017 M10x50;Hex head screw according to UNI EN 24017.;modelli/M000190.html;downloads/M000190.zip;previews/M000190.png
M000191;Bolts;UNI EN 24017;Hex head screw UNI EN 24017 M12x60;Hex head screw according to UNI EN 24017.;modelli/M000191.html;downloads/M000191.zip;previews/M000191.png
M000192;Bolts;UNI EN 24017;Hex head screw UNI EN 24017 M14x70;Hex head screw according to UNI EN 24017.;modelli/M000192.html;downloads/M000192.zip;previews/M000192.png
M000193;Bolts;UNI EN 24017;Hex head screw UNI EN 24017 M16x80;Hex head screw according to UNI EN 24017.;modelli/M000193.html;downloads/M000193.zip;previews/M000193.png
M000194;Bolts;UNI EN 24017;Hex head screw UNI EN 24017 M18x90;Hex head screw according to UNI EN 24017.;modelli/M000194.html;downloads/M000194.zip;previews/M000194.png
M000195;Bolts;UNI EN 24017;Hex head screw UNI EN 24017 M20x100;Hex head screw according to UNI EN 24017.;modelli/M000195.html;downloads/M000195.zip;previews/M000195.png
M000196;Bolts;UNI EN 24017;Hex head screw UNI EN 24017 M4x20;Hex head screw according to UNI EN 24017.;modelli/M000196.html;downloads/M000196.zip;previews/M000196.png
M000197;Bolts;UNI EN 24017;Hex head screw UNI EN 24017 M5x25;Hex head screw according to UNI EN 24017.;modelli/M000197.html;downloads/M000197.zip;previews/M000197.png
M000198;Bolts;UNI EN 24017;Hex head screw UNI EN 24017 M6x30;Hex head screw according to UNI EN 24017.;modelli/M000198.html;downloads/M000198.zip;previews/M000198.png
M000199;Bolts;UNI EN 24017;Hex head screw UNI EN 24017 M8x40;Hex head screw according to UNI EN 24017.;modelli/M000199.html;downloads/M000199.zip;previews/M000199.png
